email,label
Nâng cấp lên kế hoạch cao cấp của chúng tôi để truy cập độc quyền vào nội dung và tính năng cao cấp.,ham
Chúc mừng ngày lễ từ đội của chúng tôi!Chúc bạn vui mừng và thịnh vượng trong mùa này.,ham
Chúng tôi đang tuyển dụng!Kiểm tra các cơ hội nghề nghiệp của chúng tôi và tham gia đội ngũ năng động của chúng tôi.,ham
Tài khoản Amazon của bạn đã bị khóa.Nhấn vào đây để xác minh thông tin tài khoản của bạn.,spam
Ý kiến ​​của bạn quan trọng!Lấy khảo sát của chúng tôi và giúp chúng tôi nâng cao trải nghiệm của bạn.,ham
Thanh toán của bạn đã được nhận.Cảm ơn bạn đã giao dịch nhanh chóng của bạn.,ham
Lưu trữ tài khoản email của bạn đã đầy.Nhấn vào đây để nâng cấp tài khoản của bạn.,spam
"Kính gửi [Tên], Cảm ơn bạn đã đăng ký nhận bản tin của chúng tôi.Đây là món quà chào mừng của bạn!",ham
Tài khoản của bạn đã được ghi có vào điểm trung thành.Đổi chúng cho phần thưởng thú vị!,ham
Bạn đã được chọn cho iPhone miễn phí.Nhấn vào đây để nhận giải thưởng của bạn!,spam
Đừng bỏ lỡ lời đề nghị đặc biệt của chúng tôi!Đăng ký ngay bây giờ và được giảm giá cho lần mua đầu tiên của bạn.,ham
Chúng tôi đang thuê thực tập sinh cho mùa hè.Áp dụng ngay bây giờ và có được kinh nghiệm có giá trị.,ham
Bạn được phê duyệt trước cho một khoản vay.Nhấn vào đây để đăng ký ngay!,spam
Chúng tôi rất vui mừng được giới thiệu bộ sưu tập mới của chúng tôi.Mua sắm ngay bây giờ và tận hưởng giảm giá độc quyền!,ham
Chúng tôi vui mừng thông báo loạt hội thảo trên web sắp tới của chúng tôi.Đăng ký ngay để đặt chỗ của bạn!,ham
Chúng tôi đã thêm các tính năng mới vào ứng dụng của chúng tôi dựa trên phản hồi của bạn.Cập nhật ngay!,ham
Bạn là người chiến thắng!Nhấn vào đây để nhận giải thưởng độc quyền của bạn.,spam
Tài khoản Facebook của bạn đã bị hack.Nhấn vào đây để bảo đảm tài khoản của bạn.,spam
Chúc mừng bạn đã đạt được một cột mốc mới!Đây là nhiều thành tích hơn.,ham
